Protein Group Identifications: Injured vs Non-injured No Diet Kidney Lysate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3945 identified protein groups with >= 2 unique peptides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120 min DIA sample files  were searched with 120 min Deep Library in Spectronaut v16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG.Genes,PG.ProteinDescriptions,PG.UniProtIds,PG.CellularComponent,PG.BiologicalProcess,PG.MolecularFunction,PG.Qvalue,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsIdentified,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsIdentified,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsIdentified,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsIdentified,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification,[1] 22_0505_002_SSL2_ND_Non_23_01.wiff.PG.Quantity,[2] 22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity,[3] 22_0505_004_SSL2_ND_Non_24_01.wiff.PG.Quantity,[4] 22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity,[5] 22_0505_006_SSL2_ND_Non_25_01.wiff.PG.Quantity,[6] 22_0505_008_SSL2_ND_Non_26_01.wiff.PG.Quantity,[7] 22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity,[8] 22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity
Gstk1,Glutathione S-transferase kappa 1,Q9DCM2,"intracellular,mitochondrion,mitochondrial inner membrane,mitochondrial matrix,peroxisome,membrane,extracellular exosome","glutathione metabolic process,epithelial cell differentiation,oxidation-reduction process,cellular oxidant detoxification","glutathione transferase activity,glutathione peroxidase activity,receptor binding,protein binding,protein disulfide oxidoreductase activity",1.06E-45,15,12,14,11,14,14,13,14,15,12,14,11,14,14,13,14,203.1171875,76.75296021,172.7136993,82.20011902,200.7584839,151.6338043,42.34866333,67.52778625
Nudt12,Peroxisomal NADH pyrophosphatase NUDT12;Isoform 2 of Peroxisomal NADH pyrophosphatase NUDT12,Q9DCN1;Q9DCN1-2,"nucleus,cytoplasm,peroxisome;","NADP catabolic process,NAD catabolic process;","NAD+ diphosphatase activity,NADH pyrophosphatase activity,metal ion binding;",2.33E-34,8,5,9,1,10,8,6,8,8,5,9,1,10,8,6,8,14.38735867,7.462282658,14.21282291,5.073851109,11.22984314,8.492451668,4.320878506,5.479402542
Cyb5r3,NADH-cytochrome b5 reductase 3;Isoform 2 of NADH-cytochrome b5 reductase 3,Q9DCN2;Q9DCN2-2,"mitochondrial outer membrane,mitochondrial inner membrane,endoplasmic reticulum membrane,lipid particle,extracellular exosome;","cholesterol biosynthetic process,oxidation-reduction process;","cytochrome-b5 reductase activity, acting on NAD(P)H,protein binding,AMP binding,oxidoreductase activity,ADP binding,flavin adenine dinucleotide binding,NAD binding;",1.47E-63,22,22,22,21,22,21,23,22,22,22,22,21,22,21,23,22,729.3617554,764.6427002,834.0910645,592.140564,904.1559448,591.2443848,778.5084839,592.1348877
Them7,Novel Thioesterase superfamily domain and Saposin A-type domain containing protein (0610012H03Rik),Q9DCP4,mitochondrion,biological_process,molecular_function,4.95E-46,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,146.3349762,104.8581696,157.7084351,70.23091888,135.1266479,117.2722015,67.12119293,101.3500595
Aspdh,Putative L-aspartate dehydrogenase,Q9DCQ2,cellular_component,"NADP catabolic process,NAD biosynthetic process,oxidation-reduction process","aspartate dehydrogenase activity,NADP binding",2.92E-29,13,12,13,3,13,14,12,11,13,12,13,3,13,14,12,11,440.7594604,165.6419373,498.5465393,13.30103588,431.160675,425.9153137,78.97511292,131.2008057
Ap3s1,AP-3 complex subunit sigma-1,Q9DCR2,"trans-Golgi network,membrane,AP-3 adaptor complex,cytoplasmic vesicle membrane,intracellular membrane-bounded organelle,axon cytoplasm","intracellular protein transport,anterograde axonal transport,vesicle-mediated transport,anterograde synaptic vesicle transport",protein transporter activity,2.09E-19,2,3,2,3,3,1,3,3,2,3,2,3,3,1,3,3,40.81547928,56.18671036,36.03853226,31.13726234,29.38155556,37.3589592,58.24528503,52.07677078
,UPF0585 protein C16orf13 homolog,Q9DCS2,cellular_component,biological_process,molecular_function,2.64E-40,12,12,12,9,12,12,11,12,12,12,12,9,12,12,11,12,401.6447449,238.951355,434.9409485,36.69715881,420.9993286,364.5365601,157.7829895,221.8586121
Mecr,"Trans-2-enoyl-CoA reductase, mitochondrial",Q9DCS3,"nucleus,mitochondrion,cytosol","fatty acid metabolic process,fatty acid biosynthetic process,oxidation-reduction process","ligand-dependent nuclear receptor binding,trans-2-enoyl-CoA reductase (NADPH) activity",2.36E-29,14,11,14,11,14,14,12,11,14,11,14,11,14,14,12,11,555.2570801,291.402771,649.8460083,319.6841125,654.8004761,502.4074402,181.8249359,274.5267334
Ndufb10,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,Q9DCS9,"mitochondrion,mitochondrial inner membrane,mitochondrial respiratory chain complex I,extracellular exosome","mitochondrial respiratory chain complex I assembly,oxidation-reduction process",molecular_function,3.79E-53,18,18,18,17,17,18,16,18,18,18,18,17,17,18,16,18,613.2755127,289.7159119,627.2733154,468.2763977,621.6260376,602.7671509,144.4423828,249.9712524
Akr1e2,"1,5-anhydro-D-fructose reductase",Q9DCT1,"nucleoplasm,Golgi apparatus,cytosol,extracellular exosome",oxidation-reduction process,"oxidoreductase activity,1,5-anhydro-D-fructose reductase activity",5.97E-54,8,8,8,7,8,8,8,7,8,8,8,7,8,8,8,7,69.35839081,35.30109024,71.13279724,46.22800446,74.37004089,73.93019867,41.2760582,65.56150055
Ndufs3,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",Q9DCT2,"mitochondrion,mitochondrial inner membrane,mitochondrial respiratory chain complex I,nuclear body,mitochondrial membrane,myelin sheath","substantia nigra development,negative regulation of cell growth,cellular respiration,reactive oxygen species metabolic process,negative regulation of intrinsic apoptotic signaling pathway","NADH dehydrogenase activity,NADH dehydrogenase (ubiquinone) activity",6.77E-44,20,18,19,21,20,20,17,18,20,18,19,21,20,20,17,18,1703.589722,590.0848389,1632.143311,1296.358398,1539.858276,1635.933105,443.9092102,663.9553223
Crip2,Cysteine-rich protein 2,Q9DCT8,"cell cortex,extracellular matrix","positive regulation of cell proliferation,hemopoiesis","protein binding,metal ion binding",2.20E-43,9,9,9,9,8,9,9,9,9,9,9,9,8,9,9,9,49.51376343,60.733078,36.06377411,33.58005142,36.80077362,40.23304749,56.03318787,55.24500656
Mrpl4,"39S ribosomal protein L4, mitochondrial",Q9DCU6,"mitochondrion,mitochondrial large ribosomal subunit,cytosolic ribosome",translation,"RNA binding,structural constituent of ribosome",2.37E-22,3,2,3,2,2,2,3,3,3,2,3,2,2,2,3,3,28.85370445,14.4374361,20.57225609,20.4676609,12.47851563,27.0053997,10.90318394,16.27326202
Hoga1,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",Q9DCU9,"mitochondrion,extracellular exosome","glyoxylate catabolic process,4-hydroxyproline catabolic process,oxalate metabolic process,pyruvate biosynthetic process,glyoxylate metabolic process","4-hydroxy-2-oxoglutarate aldolase activity,protein homodimerization activity",1.16E-48,10,9,10,9,9,10,9,10,10,9,10,9,9,10,9,10,1323.893311,692.524231,1140.143799,774.8291016,931.402771,1386.737427,477.6057739,676.569519
Rmdn1,Regulator of microtubule dynamics protein 1,Q9DCV4,"spindle pole,mitochondrion,centrosome,microtubule",biological_process,molecular_function,1.10E-47,6,7,7,6,6,6,5,7,6,7,7,6,6,6,5,7,63.41779709,21.43561172,65.46906281,25.2094841,64.78091431,51.2181778,18.47823715,21.91392136
Krt7,"Keratin, type II cytoskeletal 7",Q9DCV7,"nucleus,cytoplasm,keratin filament,extracellular exosome",,"structural molecule activity,protein binding",6.50E-44,19,23,21,24,20,19,22,22,19,23,21,24,20,19,22,22,179.1769104,546.5933228,129.4385376,459.7974854,140.1998138,130.470993,544.7773438,435.4532471
Plscr2,Phospholipid scramblase 2,Q9DCW2,"nucleus,cytoplasm,plasma membrane,integral component of membrane","phospholipid scrambling,cellular response to lipopolysaccharide","protein binding,SH3 domain binding,phospholipid scramblase activity,metal ion binding",4.83E-44,7,6,7,7,6,6,5,6,7,6,7,7,6,6,5,6,70.16271973,45.7710495,63.96382523,48.28725815,67.98103333,53.40106964,28.63458252,19.42251778
Etfb,Electron transfer flavoprotein subunit beta,Q9DCW4,"mitochondrion,mitochondrial matrix,cytosol,mitochondrial electron transfer flavoprotein complex,extracellular exosome",fatty acid beta-oxidation using acyl-CoA dehydrogenase,electron carrier activity,2.21E-54,28,26,28,26,28,28,26,28,28,26,28,26,28,28,26,28,5271.025391,2004.316162,5208.899414,1312.528809,5142.545898,4741.504883,1268.900024,2073.677002
Atp5h,"ATP synthase subunit d, mitochondrial",Q9DCX2,"mitochondrial proton-transporting ATP synthase, stator stalk,nucleoplasm,mitochondrion,mitochondrial inner membrane,mitochondrial proton-transporting ATP synthase complex,cytosol,myelin sheath,extracellular exosome","ATP synthesis coupled proton transport,Requires Ontology","ATPase activity,proton-transporting ATP synthase activity, rotational mechanism",2.07E-29,22,20,22,21,21,22,21,21,22,20,22,21,21,22,21,21,1644.615967,771.3961792,1776.458984,714.5819702,1493.809204,1407.483276,440.2076721,721.6123047
Iyd,Iodotyrosine deiodinase 1,Q9DCX8,"nucleoplasm,plasma membrane,integral component of plasma membrane,cytoplasmic vesicle membrane","tyrosine metabolic process,thyroid hormone metabolic process,oxidation-reduction process,cellular oxidant detoxification","iodide peroxidase activity,FMN binding,oxidoreductase activity",9.66E-06,4,2,4,1,4,3,1,3,4,2,4,1,4,3,1,3,33.24253464,10.10128403,31.38589478,9.987970352,20.57413101,30.41665077,5.85465765,11.0018177
Keg1,Glycine N-acyltransferase-like protein Keg1,Q9DCY0,"mitochondrion,centrosome,microtubule",,glycine N-acyltransferase activity,2.45E-47,36,34,36,30,35,35,32,33,36,34,36,30,35,35,32,33,6130.581055,2740.906738,5393.418457,1380.657593,6274.199707,5080.632813,1285.517456,2418.923096
Gmpr,GMP reductase 1,Q9DCZ1,GMP reductase complex,"purine nucleobase metabolic process,nucleotide metabolic process,oxidation-reduction process","GMP reductase activity,metal ion binding",5.48E-44,11,13,11,11,12,12,14,15,11,13,11,11,12,12,14,15,95.33048248,158.9293976,97.94147491,42.4077301,100.571701,95.72853088,139.5588837,161.3881226
Apoo,MICOS complex subunit Mic26;Isoform 2 of MICOS complex subunit Mic26;Isoform 3 of MICOS complex subunit Mic26,Q9DCZ4;Q9DCZ4-2;Q9DCZ4-3,"Golgi membrane,extracellular region,mitochondrion,endoplasmic reticulum membrane,cytosol,integral component of mitochondrial inner membrane,MICOS complex;;",cristae formation;;,molecular_function;;,1.77E-42,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,8,272.7252502,117.4803543,304.10849,111.7366028,278.905304,218.3930511,69.68278503,104.6690445
Mettl7b,Methyltransferase-like protein 7B,Q9DD20,,methylation,methyltransferase activity,4.58E-30,11,11,11,11,12,11,11,11,11,11,11,11,12,11,11,11,223.5544434,188.3447113,274.4562988,94.90161896,259.9851685,214.6465607,107.173111,175.8909912
Sacm1l,Phosphatidylinositide phosphatase SAC1,Q9EP69,"endoplasmic reticulum membrane,Golgi apparatus,integral component of endoplasmic reticulum membrane,AMPA glutamate receptor complex","biological_process,phosphatidylinositol dephosphorylation","phosphatidylinositol-3-phosphatase activity,phosphatase activity,phosphatidylinositol bisphosphate phosphatase activity,phosphatidylinositol-4-phosphate phosphatase activity",1.43E-56,16,16,15,14,15,15,16,16,16,16,15,14,15,15,16,16,163.6907196,155.6574554,179.9930725,122.0385361,169.0965881,157.8233185,138.9499207,147.9523621
Rai14,Ankycorbin,Q9EP71,"fibrillar center,nucleus,mitochondrion,cytosol,cytoskeleton,cell cortex",,,9.58E-52,13,12,7,9,5,8,12,12,13,12,7,9,5,8,12,12,17.77286148,22.6356144,12.39021969,16.97521973,8.467982292,15.61132145,22.26913452,24.15263939
Emc7,ER membrane protein complex subunit 7,Q9EP72,"integral component of membrane,ER membrane protein complex",biological_process,"molecular_function,carbohydrate binding",0.000440586,1,2,2,2,2,2,1,2,0,2,2,2,2,2,0,2,NaN,16.57608986,0.780750811,24.81793022,20.07580757,18.37137794,NaN,21.53432465
Lactb,"Serine beta-lactamase-like protein LACTB, mitochondrial",Q9EP89,"mitochondrion,cytosol","proteolysis,lipid metabolic process,regulation of lipid metabolic process","peptidase activity,identical protein binding",1.03E-50,14,13,14,14,15,14,12,14,14,13,14,14,15,14,12,14,331.3287354,146.552475,298.7359009,311.570282,319.8241577,335.680603,92.213974,171.8517151
Pycard,Apoptosis-associated speck-like protein containing a CARD,Q9EPB4,"extracellular region,nucleus,nucleolus,cytoplasm,mitochondrion,endoplasmic reticulum,cytosol,neuronal cell body,NLRP1 inflammasome complex,NLRP3 inflammasome complex,AIM2 inflammasome complex,IkappaB kinase complex","myeloid dendritic cell activation,activation of innate immune response,positive regulation of defense response to virus by host,myeloid dendritic cell activation involved in immune response,positive regulation of antigen processing and presentation of peptide antigen via MHC class II,positive regulation of adaptive immune response,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,inflammatory response,response to bacterium,regulation of autophagy,regulation of tumor necrosis factor-mediated signaling pathway,positive regulation of actin filament polymerization,regulation of protein stability,negative regulation of NF-kappaB transcription factor activity,interleukin-1 beta production,negative regulation of interferon-beta production,positive regulation of interferon-gamma production,positive regulation of interleukin-6 production,positive regulation of tumor necrosis factor production,tumor necrosis factor-mediated signaling pathway,positive regulation of activated T cell proliferation,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator,regulation of apoptotic process,positive regulation of apoptotic process,regulation of GTPase activity,negative regulation of I-kappaB kinase/NF-kappaB signaling,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,regulation of cysteine-type endopeptidase activity involved in apoptotic process,macropinocytosis,innate immune response,positive regulation of JNK cascade,positive regulation of interleukin-1 beta secretion,regulation of inflammatory response,positive regulation of phagocytosis,defense response to Gram-negative bacterium,positive regulation of T cell activation,positive regulation of sequence-specific DNA binding transcription factor activity,positive regulation of NF-kappaB transcription factor activity,defense response to virus,positive regulation of ERK1 and ERK2 cascade,cellular response to lipopolysaccharide,cellular response to interleukin-1,cellular response to tumor necrosis factor,negative regulation of protein serine/threonine kinase activity,intrinsic apoptotic signaling pathway by p53 class mediator,positive regulation of chemokine secretion,positive regulation of release of cytochrome c from mitochondria,activation of cysteine-type endopeptidase activity,positive regulation of T cell migration,positive regulation of interleukin-8 secretion,positive regulation of interleukin-6 secretion,positive regulation of cysteine-type endopeptidase activity,positive regulation of interleukin-10 secretion,positive regulation of extrinsic apoptotic signaling pathway,regulation of intrinsic apoptotic signaling pathway","protease binding,interleukin-6 receptor binding,protein binding,tropomyosin binding,peptidase activator activity involved in apoptotic process,myosin I binding,enzyme binding,Pyrin domain binding,identical protein binding,protein homodimerization activity,ion channel binding,protein dimerization activity,BMP receptor binding,cysteine-type endopeptidase activity involved in apoptotic process",4.38E-38,5,9,6,10,7,6,10,10,5,9,6,10,7,6,10,10,43.9989624,106.2474594,17.97577477,152.1352539,25.22023392,56.92144012,133.1056824,89.47212219
Atp13a1,Manganese-transporting ATPase 13A1,Q9EPE9,"endoplasmic reticulum membrane,integral component of plasma membrane,membrane,intracellular membrane-bounded organelle","cellular calcium ion homeostasis,calcium ion transmembrane transport,Requires Ontology","calcium-transporting ATPase activity,ATP binding,metal ion binding",1.14E-28,9,9,9,7,10,9,9,10,9,9,9,7,10,9,9,10,27.11779976,30.81583977,24.88193893,21.65833473,21.2582016,29.19699287,31.34891701,30.00900078
Arfgap1,ADP-ribosylation factor GTPase-activating protein 1,Q9EPJ9,"Golgi apparatus,postsynaptic density,synapse","protein transport,vesicle-mediated transport,regulation of endocytosis,positive regulation of GTPase activity","GTPase activator activity,protein binding,metal ion binding",7.46E-27,4,4,2,4,2,4,4,4,4,4,2,4,2,4,4,4,8.340870857,10.03837299,12.06761169,21.7798233,10.28146744,22.44407272,19.95778656,29.02026939
Mettl9,Methyltransferase-like protein 9,Q9EPL4,cellular_component,biological_process,molecular_function,0.001885873,1,Filtered,Filtered,Filtered,1,1,1,1,1,Filtered,Filtered,Filtered,1,1,1,1,2.242790222,Filtered,Filtered,Filtered,4.03201437,3.594284773,1.345986724,10.6667738
Ipo7,Importin-7,Q9EPL8,"nuclear envelope,nucleoplasm,cytosol,membrane","protein import into nucleus,signal transduction,innate immune response","protein binding,Ran GTPase binding,protein transporter activity,histone binding,SMAD binding",9.16E-35,8,11,7,10,9,7,12,10,8,11,7,10,9,7,12,10,35.15057373,51.47936249,27.39820862,44.36962128,27.85098648,28.11150932,56.71456528,46.59416199
Acox3,Peroxisomal acyl-coenzyme A oxidase 3,Q9EPL9,"mitochondrion,peroxisome,peroxisomal matrix,membrane","fatty acid beta-oxidation,fatty acid beta-oxidation using acyl-CoA dehydrogenase,fatty acid beta-oxidation using acyl-CoA oxidase","acyl-CoA dehydrogenase activity,receptor binding,pristanoyl-CoA oxidase activity,flavin adenine dinucleotide binding,FAD binding",2.61E-54,37,36,36,32,38,37,33,35,37,36,36,32,38,37,33,35,466.0160522,185.9012451,542.2438354,179.4597321,505.528656,449.5558167,104.9270859,147.3730011
Stard5,StAR-related lipid transfer protein 5,Q9EPQ7,mitochondrion,cholesterol import,"cholesterol binding,cholesterol transporter activity,bile acid binding",5.47E-28,4,5,5,4,5,4,5,5,4,5,5,4,5,4,5,5,30.60375023,45.51480484,23.9799118,9.210821152,29.25416374,18.91559792,36.53061295,33.05030441
Upf1,Regulator of nonsense transcripts 1;Isoform 2 of Regulator of nonsense transcripts 1,Q9EPU0;Q9EPU0-2,"nuclear chromosome, telomeric region,chromatin,cytoplasmic mRNA processing body,nucleus,nucleoplasm,exon-exon junction complex,supraspliceosomal complex;","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay,nuclear-transcribed mRNA catabolic process,DNA replication,DNA repair,regulation of translational termination,dosage compensation by inactivation of X chromosome,telomere maintenance via semi-conservative replication,regulation of telomere maintenance,cell cycle phase transition,positive regulation of mRNA catabolic process,3'-UTR-mediated mRNA destabilization,histone mRNA catabolic process,cellular response to lipopolysaccharide,cellular response to interleukin-1;","chromatin binding,RNA binding,ATP-dependent RNA helicase activity,protein binding,ATP binding,zinc ion binding,telomeric DNA binding;",5.65E-42,19,27,21,23,24,23,25,25,19,27,21,23,24,23,25,25,65.24990082,100.7136078,76.75578308,90.81111908,58.80178452,67.82218933,97.09911346,99.76173401
Cpsf1,Cleavage and polyadenylation specificity factor subunit 1,Q9EPU4,"nucleoplasm,mRNA cleavage and polyadenylation specificity factor complex","mRNA polyadenylation,mRNA cleavage","mRNA binding,enzyme binding,mRNA 3'-UTR AU-rich region binding",7.10E-19,3,3,2,3,2,3,3,3,3,3,2,3,2,3,3,3,4.735265255,9.042987823,9.127480507,9.339859962,5.050702095,4.564676285,9.780254364,6.450911522
Hsd17b11,Estradiol 17-beta-dehydrogenase 11,Q9EQ06,"extracellular region,cytoplasm,lipid particle","steroid biosynthetic process,androgen catabolic process,oxidation-reduction process","estradiol 17-beta-dehydrogenase activity,steroid dehydrogenase activity",2.57E-44,27,25,27,25,27,27,25,24,27,25,27,25,27,27,25,24,813.9320068,432.9003296,965.1630859,840.3018188,504.2895508,865.425293,294.1029053,276.25
