"","PG.Genes","PG.ProteinDescriptions","PG.UniProtIds","PG.ProteinNames","PG.CellularComponent","PG.BiologicalProcess","PG.MolecularFunction","PG.Qvalue","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsIdentified","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsIdentified","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0518_009_SSL2_ND_Non_23_DIA_01.wiff.PG.Quantity","X.2..22_0518_010_SSL2_ND_Non_27_DIA_01.wiff.PG.Quantity","X.3..22_0518_011_SSL2_ND_Non_24_DIA_01.wiff.PG.Quantity","X.4..22_0518_014_SSL2_ND_Non_29_DIA_01.wiff.PG.Quantity","X.5..22_0518_015_SSL2_ND_Non_26_DIA_01.wiff.PG.Quantity","X.6..22_0518_016_SSL2_ND_Non_30_DIA_01.wiff.PG.Quantity","X.7..22_0519_001_SSL2_ND_Non_28_DIA_02.wiff.PG.Quantity","X.8..22_0519_002_SSL2_ND_Non_25_DIA_02.wiff.PG.Quantity"
"2807","dhrs4","Dehydrogenase/reductase SDR family member 4","Q99LB2","DHRS4_MOUSE","nucleus,mitochondrion,peroxisome,peroxisomal membrane,extracellular exosome","alcohol metabolic process,steroid metabolic process,cellular ketone metabolic process,retinal metabolic process,protein tetramerization,oxidation-reduction process","3-keto sterol reductase activity,retinal dehydrogenase activity,carbonyl reductase (NADPH) activity,receptor binding,oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor,alcohol dehydrogenase [NAD(P)+] activity",1.25e-47,"17","18","17","16","16","16","14","17","17","18","17","16","16","16","14","17","1236.075317","655.7965698","1436.182983","633.1697998","1105.691772","394.8998108","548.5570679","1229.931396"
"2808","capg","Capping protein (Actin filament), gelsolin-like","Q99LB4","Q99LB4_MOUSE","","","",6.05e-47,"11","16","10","17","15","18","17","9","11","16","10","17","15","18","17","9","27.82800102","104.8660736","14.55779648","87.98995972","40.85938644","142.5353851","128.7823792","18.14167023"
"2809","mat2b","Methionine adenosyltransferase 2 subunit beta","Q99LB6","MAT2B_MOUSE","nucleus,mitochondrion,methionine adenosyltransferase complex,extracellular exosome","S-adenosylmethionine biosynthetic process,one-carbon metabolic process,regulation of catalytic activity","enzyme binding,methionine adenosyltransferase regulator activity",1.2e-83,"4","4","4","5","5","7","2","4","4","4","4","5","5","7","2","4","33.93090439","39.91641235","36.60878754","41.7938385","27.69473839","48.57331848","17.44044876","13.5193367"
"2810","sardh","Sarcosine dehydrogenase, mitochondrial","Q99LB7","SARDH_MOUSE","mitochondrion,mitochondrial matrix","oxidation-reduction process,sarcosine catabolic process","sarcosine dehydrogenase activity",2.03e-78,"40","32","40","32","43","35","20","43","40","32","40","32","43","35","20","43","544.4232788","249.0616455","554.5744019","231.6161652","483.01297","135.6565704","85.44870758","554.7149658"
"2811","cstf1","Cleavage stimulation factor subunit 1","Q99LC2","CSTF1_MOUSE","nucleoplasm","mRNA processing","RNA binding",5.89e-10,"Filtered","2","Filtered","2","2","2","Filtered","Filtered","Filtered","2","Filtered","2","2","2","Filtered","Filtered","Filtered","19.1004734","Filtered","19.87273979","8.164934158","18.67449379","Filtered","Filtered"
"2812","ndufa10","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial","Q99LC3","NDUAA_MOUSE","mitochondrion,mitochondrial respiratory chain complex I,mitochondrial matrix,myelin sheath","mitochondrial electron transport, NADH to ubiquinone,mitochondrial respiratory chain complex I assembly","NADH dehydrogenase (ubiquinone) activity",3.22e-40,"20","15","18","17","21","16","14","19","20","15","18","17","21","16","14","19","653.8586426","298.7202759","723.0500488","351.5243835","655.4836426","233.0972137","328.1141663","685.0066528"
"2813","etfa","Electron transfer flavoprotein subunit alpha, mitochondrial","Q99LC5","ETFA_MOUSE","mitochondrion,mitochondrial electron transfer flavoprotein complex,extracellular exosome","fatty acid beta-oxidation using acyl-CoA dehydrogenase","protein binding,electron carrier activity,oxidoreductase activity,flavin adenine dinucleotide binding",5e-50,"27","27","26","25","29","24","22","27","27","27","26","25","29","24","22","27","2082.127686","1072.827637","2140.838623","1050.291138","1977.809082","770.2027588","856.9343262","2222.052979"
"2814","ddah2","N(G),N(G)-dimethylarginine dimethylaminohydrolase 2","Q99LD8","DDAH2_MOUSE","mitochondrion,microtubule organizing center,cytosol,extracellular exosome","citrulline metabolic process,arginine catabolic process,positive regulation of nitric oxide biosynthetic process","dimethylargininase activity,amino acid binding",1.48e-32,"4","7","4","8","4","8","5","5","4","7","4","8","4","8","5","5","296.2542725","531.4953613","284.1183777","540.5443115","263.3392944","607.0384521","306.0760193","290.8088684"
"2815","abcf2","ATP-binding cassette sub-family F member 2","Q99LE6","ABCF2_MOUSE","mitochondrion,membrane","biological_process","ATP binding,ATPase activity",9.49e-06,"1","4","3","2","1","7","2","3","1","4","3","2","1","7","2","3","12.07146645","14.89745998","13.26364326","82.74915314","21.14012909","14.07744884","11.82794762","11.53432655"
"2816","rtcb","tRNA-splicing ligase RtcB homolog","Q99LF4","RTCB_MOUSE","nucleus,nuclear envelope,nucleoplasm,cytoplasm,endoplasmic reticulum membrane,cytosol,intracellular membrane-bounded organelle,tRNA-splicing ligase complex","in utero embryonic development,placenta development,tRNA splicing, via endonucleolytic cleavage and ligation","RNA binding,RNA ligase (ATP) activity,ATP binding,vinculin binding,metal ion binding",5.71e-26,"16","13","12","16","13","17","12","16","16","13","12","16","13","17","12","16","51.33768845","79.08216858","44.5591011","58.26724625","46.94882965","77.58895111","51.43507767","56.32331848"
"2817","fuca1","Tissue alpha-L-fucosidase","Q99LJ1","FUCO_MOUSE","lysosome,extracellular exosome","fucose metabolic process,glycoside catabolic process","alpha-L-fucosidase activity",2.72e-54,"3","4","2","4","3","4","3","4","3","4","2","4","3","4","3","4","28.40138817","25.53859329","33.03183746","32.20834732","24.55951118","27.90577126","23.86177063","21.10521126"
"2818","grpel1","GrpE protein homolog 1, mitochondrial","Q99LP6","GRPE1_MOUSE","presequence translocase-associated import motor,nucleus,mitochondrion,mitochondrial matrix","protein folding,protein import into mitochondrial matrix,regulation of catalytic activity","adenyl-nucleotide exchange factor activity,protein homodimerization activity,unfolded protein binding,chaperone binding",8.94e-42,"14","13","13","11","13","10","5","13","14","13","13","11","13","10","5","13","169.1599884","118.2136841","158.3722839","109.7176666","123.3270035","74.83470154","75.94067383","147.5195618"
"2819","abhd12","Monoacylglycerol lipase ABHD12","Q99LR1","ABD12_MOUSE","mitochondrion,integral component of membrane,AMPA glutamate receptor complex","phosphatidylserine catabolic process,adult walking behavior,response to auditory stimulus,acylglycerol catabolic process,glycerophospholipid catabolic process,monoacylglycerol catabolic process","lysophospholipase activity,acylglycerol lipase activity",3.01e-07,"Filtered","1","Filtered","2","2","3","1","Filtered","Filtered","1","Filtered","2","2","3","1","Filtered","Filtered","15.89077568","Filtered","8.319830894","5.642364025","9.888473511","19.70440483","Filtered"
"2820","dpy30","Protein dpy-30 homolog","Q99LT0","DPY30_MOUSE","chromosome, telomeric region,nucleus,nucleoplasm,Golgi apparatus,trans-Golgi network,histone methyltransferase complex,MLL3/4 complex,Set1C/COMPASS complex","chromatin silencing at telomere,transcription, DNA-templated,endosomal transport,histone H3-K4 methylation","identical protein binding,protein homodimerization activity,histone methyltransferase activity (H3-K4 specific)",2.65e-45,"1","1","1","2","1","3","Filtered","1","1","1","1","2","1","3","Filtered","1","39.27332687","19.88138771","3.573731184","133.4780884","5.935853481","130.5749359","Filtered","4.79181385"
"2821","chmp1b1","Charged multivesicular body protein 1b-1","Q99LU0","CH1B1_MOUSE","ESCRT III complex,nucleus,cytosol,endosome membrane,membrane coat,midbody,late endosome membrane,extracellular exosome","cell separation after cytokinesis,nucleus organization,vacuolar transport,mitotic metaphase plate congression,regulation of centrosome duplication,protein transport,viral budding via host ESCRT complex,establishment of protein localization,cell division,regulation of mitotic spindle assembly","protein domain specific binding,identical protein binding",0.002225174,"1","1","Filtered","1","1","2","1","Filtered","1","0","Filtered","1","1","2","0","Filtered","2.067538977","NaN","Filtered","4.090344429","1.349511385","3.517090797","NaN","Filtered"
"2822","ndufs5","NADH dehydrogenase [ubiquinone] iron-sulfur protein 5","Q99LY9","NDUS5_MOUSE","mitochondrion,mitochondrial respiratory chain complex I,mitochondrial intermembrane space","mitochondrial respiratory chain complex I assembly,oxidation-reduction process","molecular_function",5.4e-57,"10","8","12","8","9","7","8","9","10","8","12","8","9","7","8","9","223.3149872","110.1025543","210.1986847","92.83094788","188.4165344","84.79419708","93.51541901","227.5193634"
"2823","hspa14","Heat shock 70 kDa protein 14;Isoform 2 of Heat shock 70 kDa protein 14","Q99M31;Q99M31-2","HSP7E_MOUSE","cytosol,membrane,ribosome;","biological_process;","ATP binding;",0.004922129,"Filtered","2","Filtered","1","1","2","3","Filtered","Filtered","2","Filtered","1","1","2","3","Filtered","Filtered","26.64105034","Filtered","37.47470093","39.93723297","112.9779053","221.9333344","Filtered"
"2824","epdr1","Mammalian ependymin-related protein 1","Q99M71","EPDR1_MOUSE","extracellular space,lysosome,extracellular exosome","cell-matrix adhesion,biological_process","molecular_function,calcium ion binding",2.17e-06,"Filtered","1","Filtered","2","Filtered","2","2","Filtered","Filtered","1","Filtered","2","Filtered","2","2","Filtered","Filtered","14.92258072","Filtered","4.054879189","Filtered","11.44042873","11.77727222","Filtered"
"2825","dnaja3","DnaJ homolog subfamily A member 3, mitochondrial","Q99M87","DNJA3_MOUSE","nucleus,cytoplasm,mitochondrion,mitochondrial matrix,cytosol,extrinsic component of plasma membrane,cell junction,neuromuscular junction,mitochondrial nucleoid,intracellular membrane-bounded organelle,postsynaptic membrane,actin filament,IkappaB kinase complex,I-kappaB/NF-kappaB complex","negative regulation of transcription from RNA polymerase II promoter,mitochondrial DNA replication,protein folding,negative regulation of protein kinase activity,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,activation-induced cell death of T cells,mitochondrion organization,small GTPase mediated signal transduction,neuromuscular junction development,cell aging,negative regulation of cell proliferation,response to heat,positive regulation of protein ubiquitination,negative regulation of NF-kappaB transcription factor activity,T cell differentiation in thymus,response to interferon-gamma,positive regulation of T cell proliferation,positive regulation of apoptotic process,negative regulation of apoptotic process,negative regulation of programmed cell death,negative regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,protein stabilization,negative regulation of interferon-gamma-mediated signaling pathway","interferon-gamma receptor binding,protein binding,ATP binding,transcription factor binding,protein kinase binding,Hsp70 protein binding,GTPase regulator activity,metal ion binding,NF-kappaB binding,unfolded protein binding",9.51e-52,"12","10","10","9","10","8","7","12","12","10","10","9","10","8","7","12","59.2087059","32.5225296","65.73599243","36.10404205","59.83517838","27.33195114","44.43140411","54.41259003"
"2826","kars","Lysine--tRNA ligase","Q99MN1","SYK_MOUSE","extracellular space,nucleus,mitochondrion,cytosol,plasma membrane,aminoacyl-tRNA synthetase multienzyme complex","activation of MAPK activity,basophil activation involved in immune response,positive regulation of cytokine secretion involved in immune response,lysyl-tRNA aminoacylation,negative regulation of cell proliferation,positive regulation of macrophage chemotaxis,diadenosine tetraphosphate biosynthetic process,tumor necrosis factor-mediated signaling pathway,positive regulation of macrophage activation,positive regulation of transcription, DNA-templated,ERK1 and ERK2 cascade,positive regulation of ERK1 and ERK2 cascade,positive regulation of cytokine production involved in inflammatory response,positive regulation of p38MAPK cascade,positive regulation of metallopeptidase activity","nucleic acid binding,ATP adenylyltransferase activity,lysine-tRNA ligase activity,ATP binding,protein homodimerization activity,scaffold protein binding",5.07e-17,"10","12","8","14","10","17","6","11","10","12","8","14","10","17","6","11","61.47095871","86.264328","61.82670593","95.07929993","73.72879028","109.0579987","88.42021942","74.6155777"
"2827","pccb","Propionyl-CoA carboxylase beta chain, mitochondrial","Q99MN9","PCCB_MOUSE","mitochondrion,mitochondrial matrix","fatty acid catabolic process","propionyl-CoA carboxylase activity,ATP binding,CoA carboxylase activity",1.8e-86,"30","24","30","26","28","27","25","27","30","24","30","26","28","27","25","27","600.7163086","298.7816772","637.2755737","296.3330688","564.0527954","207.7275391","410.7159424","641.0341797"
"2828","aspn","Asporin","Q99MQ4","ASPN_MOUSE","proteinaceous extracellular matrix,cytoplasm,extracellular matrix","negative regulation of protein kinase activity,cytokine-mediated signaling pathway,bone mineralization,negative regulation of transforming growth factor beta receptor signaling pathway,negative regulation of JAK-STAT cascade,negative regulation of tooth mineralization","protein kinase inhibitor activity,calcium ion binding,protein binding,collagen binding",0.000691991,"Filtered","Filtered","Filtered","1","Filtered","2","1","Filtered","Filtered","Filtered","Filtered","0","Filtered","2","1","Filtered","Filtered","Filtered","Filtered","NaN","Filtered","1.670361161","2.204104662","Filtered"
"2829","srrt","Serrate RNA effector molecule homolog;Isoform B of Serrate RNA effector molecule homolog;Isoform C of Serrate RNA effector molecule homolog;Isoform D of Serrate RNA effector molecule homolog","Q99MR6;Q99MR6-2;Q99MR6-3;Q99MR6-4","SRRT_MOUSE","nucleoplasm,cytoplasm,protein complex;;;","transcription, DNA-templated,regulation of transcription, DNA-templated,cell proliferation,primary miRNA processing,positive regulation of neurogenesis,neuronal stem cell population maintenance;;;","DNA binding,RNA binding,protein binding;;;",1.39e-21,"7","16","7","13","8","14","8","7","7","16","7","13","8","14","8","7","17.21949005","31.89714432","13.12225246","27.56187057","19.24629974","35.90116119","31.66168594","15.09122372"
"2830","mccc1","Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial","Q99MR8","MCCA_MOUSE","3-methylcrotonyl-CoA carboxylase complex, mitochondrial,mitochondrion,mitochondrial inner membrane,mitochondrial matrix,methylcrotonoyl-CoA carboxylase complex","leucine catabolic process","biotin carboxylase activity,ATP binding,metal ion binding,methylcrotonoyl-CoA carboxylase activity",1.16e-54,"39","29","36","28","35","28","22","37","39","29","36","28","35","28","22","37","271.4844666","104.4996414","277.1914978","83.61415863","228.7863617","70.52266693","75.24906921","274.3311462"
"2831","myo7b","Unconventional myosin-VIIb","Q99MZ6","MYO7B_MOUSE","microvillus,brush border,myosin complex,extracellular exosome,apical cytoplasm","cell differentiation,brush border assembly","motor activity,actin binding,ATP binding",2.54e-19,"15","15","11","15","15","15","5","17","15","15","11","15","15","15","5","17","27.92620277","17.18141937","19.71377563","16.95602608","21.64023209","15.00345516","21.25144005","23.68312454"
"2832","hsd17b10","17beta-hydroxysteroid dehydrogenase type 10/short chain L-3-hydroxyacyl-CoA dehydrogenase","Q99N15","Q99N15_MOUSE","","","",5.14e-44,"23","24","26","23","26","26","20","24","23","24","26","23","26","26","20","24","547.7449951","362.4884033","615.8110962","349.4342041","557.9229736","281.2472839","390.7359924","590.6575928"
"2833","ca15","Carbonic anhydrase 15","Q99N23","CAH15_MOUSE","extracellular region,membrane,anchored component of plasma membrane","","carbonate dehydratase activity,metal ion binding",0.000701593,"3","1","1","2","2","2","2","2","3","1","1","2","2","2","2","2","20.34122849","5.830383301","3.523964643","7.973685265","27.87566566","12.53822422","10.7779541","5.943515301"
