"","PG.BiologicalProcess","PG.CellularComponent","PG.Genes","PG.MolecularFunction","PG.ProteinDescriptions","PG.ProteinNames","PG.Qvalue","PG.UniProtIds","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsIdentified","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsIdentified","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsIdentified","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsIdentified","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.NrOfPrecursorsUsedForQuantification","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.NrOfPrecursorsUsedForQuantification","X.1..22_0505_003_SSL2_ND_Inj_27_01.wiff.PG.Quantity","X.2..22_0505_005_SSL2_ND_Inj_28_01.wiff.PG.Quantity","X.3..22_0505_009_SSL2_ND_Inj_30_01.wiff.PG.Quantity","X.4..22_0505_010_SSL2_ND_Inj_29_02.wiff.PG.Quantity"
"2703","acetylcholine biosynthetic process,choline transport,positive regulation of cell growth,thiamine pyrophosphate transport,otolith formation,neuromast hair cell development,acetylcholine secretion","plasma membrane,integral component of membrane,apical plasma membrane,extracellular exosome","slc44a4","choline transmembrane transporter activity,thiamine pyrophosphate transporter activity","Choline transporter-like protein 4","CTL4_MOUSE",2.67e-20,"Q91VA1",3,3,3,2,3,3,3,3,1155.556641,1086.460327,441.9403687,353.3159485
"2704","tricarboxylic acid cycle,isocitrate metabolic process,2-oxoglutarate metabolic process,NADH metabolic process","nucleus,mitochondrion","idh3b","magnesium ion binding,isocitrate dehydrogenase (NAD+) activity,NAD binding","Isocitrate dehydrogenase [NAD] subunit, mitochondrial","Q91VA7_MOUSE",4.17e-46,"Q91VA7",23,22,23,24,9,9,9,9,2317.931152,3898.918945,2009.176636,2810.777344
"2705","","","hba-a2","","Alpha globin 1","Q91VB8_MOUSE",3.83e-24,"Q91VB8",27,27,26,27,19,19,19,19,137187.5313,706135.8125,212961.0313,211339.8438
"2706","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay,regulation of alternative mRNA splicing, via spliceosome,rRNA processing,mRNA processing,associative learning,RNA splicing,RNA secondary structure unwinding,response to organic cyclic compound,negative regulation of translation,exploration behavior,positive regulation of translation,positive regulation of transcription from RNA polymerase II promoter,positive regulation of mRNA splicing, via spliceosome,embryonic cranial skeleton morphogenesis,mRNA transport,cellular response to selenite ion,negative regulation of excitatory postsynaptic potential,negative regulation of selenocysteine incorporation,negative regulation of selenocysteine insertion sequence binding,cellular response to brain-derived neurotrophic factor stimulus","nucleus,nucleoplasm,nucleolus,cytoplasm,membrane,nuclear speck,dendrite,exon-exon junction complex,neuronal cell body,catalytic step 2 spliceosome","eif4a3","RNA binding,mRNA binding,ATP-dependent RNA helicase activity,ATP binding,poly(A) binding,selenocysteine insertion sequence binding,RNA stem-loop binding,ribonucleoprotein complex binding","Eukaryotic initiation factor 4A-III","IF4A3_MOUSE",4.57e-40,"Q91VC3",16,18,19,17,7,7,7,7,2875.192139,2834.587158,2659.242676,2707.56543
"2707","MAPK cascade,positive regulation of cellular extravasation,tumor necrosis factor-mediated signaling pathway","caveola,cell surface,integral component of membrane,perinuclear region of cytoplasm,extracellular exosome","plvap","","Plasmalemma vesicle-associated protein","PLVAP_MOUSE",8.21e-29,"Q91VC4",14,12,13,13,8,8,8,8,422.7129822,193.0675812,274.408905,409.6838074
"2708","apoptotic mitochondrial changes,ATP synthesis coupled electron transport,cellular respiration,ATP metabolic process,regulation of mitochondrial membrane potential,reactive oxygen species metabolic process","mitochondrion,mitochondrial respiratory chain complex I,mitochondrial intermembrane space,myelin sheath,plasma membrane respiratory chain complex I","ndufs1","NADH dehydrogenase (ubiquinone) activity,electron carrier activity,metal ion binding,iron-sulfur cluster binding,2 iron, 2 sulfur cluster binding,4 iron, 4 sulfur cluster binding","NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial","NDUS1_MOUSE",7.78e-56,"Q91VD9",54,53,51,52,9,9,9,9,7706.92041,11047.30664,4990.552246,7709.929688
"2709","very long-chain fatty acid metabolic process,medium-chain fatty acid transport,long-chain fatty acid metabolic process,fatty acid metabolic process,response to nutrient,long-chain fatty acid transport,very long-chain fatty acid catabolic process,skin development,long-chain fatty acid import","endoplasmic reticulum,endoplasmic reticulum membrane,plasma membrane,microvillus,membrane,integral component of membrane,brush border membrane","slc27a4","nucleotide binding,long-chain fatty acid-CoA ligase activity,very long-chain fatty acid-CoA ligase activity","Long-chain fatty acid transport protein 4","S27A4_MOUSE",3.59e-18,"Q91VE0",3,2,3,3,3,3,3,3,49.14472198,34.39255142,56.61594391,76.84078979
"2710","mitotic cytokinesis,intracellular protein transport,endocytosis,receptor-mediated endocytosis,endosomal transport,positive regulation of protein oligomerization,cleavage furrow formation,positive regulation of GTPase activity,positive regulation of protein kinase activity,positive regulation of membrane protein ectodomain proteolysis,lipid tube assembly,membrane tubulation","ruffle,cytoplasm,trans-Golgi network,cytosol,plasma membrane,cytoplasmic vesicle membrane,extrinsic component of cytoplasmic side of plasma membrane,cytoplasmic vesicle,extracellular exosome,clathrin-coated vesicle","snx9","protein binding,1-phosphatidylinositol binding,ubiquitin protein ligase binding,phosphatidylinositol binding,protein homodimerization activity,cadherin binding,Arp2/3 complex binding","Sorting nexin-9","SNX9_MOUSE",3.59e-25,"Q91VH2",10,7,10,11,8,8,8,8,175.6371155,143.1591339,221.5172424,222.774765
"2711","regulation of microtubule-based process","nucleus,cytoplasm,cytosol","memo1","peptide binding","Protein MEMO1","MEMO1_MOUSE",6.35e-05,"Q91VH6",3,4,4,4,4,4,4,4,10.09502602,7.086846352,7.266258717,12.99005985
"2712","negative regulation of catalytic activity,regulation of angiogenesis","nucleoplasm,cytosol,angiogenin-PRI complex,extracellular exosome","rnh1","ribonuclease inhibitor activity","Ribonuclease inhibitor","RINI_MOUSE",6.25e-47,"Q91VI7",37,37,37,37,9,9,9,9,6074.013184,4829.330078,6625.523926,5790.185059
"2713","nervous system development,cell differentiation","cytoplasm,membrane","bzw2","cadherin binding","Basic leucine zipper and W2 domain-containing protein 2","BZW2_MOUSE",2.19e-24,"Q91VK1",4,4,5,5,5,5,5,5,155.1853485,191.7422333,191.4029083,142.4305267
"2714","regulation of alternative mRNA splicing, via spliceosome,transcription from RNA polymerase II promoter,mRNA processing,membrane protein ectodomain proteolysis,RNA splicing,positive regulation of transcription from RNA polymerase II promoter,negative regulation of mRNA splicing, via spliceosome,positive regulation of mRNA splicing, via spliceosome,protein homooligomerization,cellular response to interleukin-1","nucleus,nuclear euchromatin,supraspliceosomal complex,extracellular exosome,catalytic step 2 spliceosome","rbmxl1","core promoter binding,chromatin binding,RNA binding,mRNA binding,protein binding","RNA binding motif protein, X-linked-like-1","RMXL1_MOUSE",4.78e-13,"Q91VM5",2,2,2,2,2,2,2,2,220.2029724,191.2379913,240.4581604,181.5485535
"2715","protein dephosphorylation,regulation of mitochondrial membrane potential","mitochondrion,extracellular exosome","ppa2","magnesium ion binding,inorganic diphosphatase activity,protein serine/threonine phosphatase activity","Inorganic pyrophosphatase 2, mitochondrial","IPYR2_MOUSE",3.59e-30,"Q91VM9",27,19,27,29,12,12,12,12,1027.494263,592.9598999,735.0476074,1357.200806
"2716","double-strand break repair,transcription, DNA-templated,regulation of transcription, DNA-templated,tRNA splicing, via endonucleolytic cleavage and ligation,mRNA processing,multicellular organism development,response to virus,RNA secondary structure unwinding,DNA duplex unwinding,response to exogenous dsRNA,nucleic acid phosphodiester bond hydrolysis,protein localization to cytoplasmic stress granule","nucleus,nucleoplasm,nucleolus,cytoplasm,cytosol,cytoplasmic stress granule,membrane,intracellular ribonucleoprotein complex,cleavage body,tRNA-splicing ligase complex","ddx1","DNA binding,chromatin binding,transcription cofactor activity,RNA binding,double-stranded RNA binding,ATP-dependent RNA helicase activity,nuclease activity,exonuclease activity,protein binding,ATP binding,ATP-dependent helicase activity,poly(A) binding,DNA/RNA helicase activity","ATP-dependent RNA helicase DDX1","DDX1_MOUSE",1.5e-41,"Q91VR5",29,28,27,29,8,8,8,8,2097.062256,1776.869995,2418.588867,2291.5896
"2717","in utero embryonic development,actin filament organization,regulation of actin polymerization or depolymerization,positive regulation of cell proliferation,positive regulation of lamellipodium assembly,Rac protein signal transduction,actin cytoskeleton organization,cell motility,protein homotrimerization,positive regulation of Arp2/3 complex-mediated actin nucleation","cytoskeleton,lamellipodium,SCAR complex,extracellular exosome","brk1","protein complex binding,Rac GTPase binding","Protein BRICK1","BRK1_MOUSE",2.13e-34,"Q91VR8",5,5,5,5,5,5,5,5,194.1851196,167.7901764,137.4862366,127.8368454
"2718","fatty acid biosynthetic process,daunorubicin metabolic process,doxorubicin metabolic process,protein homotetramerization,protein heterotetramerization,oxidation-reduction process","mitochondrion,mitochondrial matrix,oxidoreductase complex","cbr4","NAD(P)H dehydrogenase (quinone) activity,NADPH dehydrogenase (quinone) activity,3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity,quinone binding,NADPH binding","Carbonyl reductase family member 4","CBR4_MOUSE",1.24e-40,"Q91VT4",10,9,10,10,9,9,9,9,720.7680664,612.5686646,501.7936707,747.1876831
"2719","cell redox homeostasis,oxidation-reduction process","cytoplasm,nuclear body,extracellular exosome","sh3bgrl3","electron carrier activity,protein disulfide oxidoreductase activity","SH3 domain-binding glutamic acid-rich-like protein 3","SH3L3_MOUSE",3.13e-22,"Q91VW3",3,2,3,3,3,3,3,3,1303.161377,1555.369995,1597.212036,1201.02124
"2720","Golgi to plasma membrane protein transport,positive regulation of axon extension","Golgi membrane,cytoplasm,Golgi apparatus,cytosol,intracellular membrane-bounded organelle,extracellular exosome","golga4","GTPase binding","Golgin subfamily A member 4","GOGA4_MOUSE",0.000346003,"Q91VW5",2,0,3,3,3,3,3,3,8.75932312,3.33307004,7.581952095,5.959337234
"2721","positive regulation of GTPase activity,positive regulation of erythrocyte differentiation,regulation of clathrin-dependent endocytosis,actin cytoskeleton reorganization","cytoplasm,plasma membrane","smap1","GTPase activator activity,protein binding,clathrin binding,metal ion binding","Stromal membrane-associated protein 1","SMAP1_MOUSE",4.6e-34,"Q91VZ6",4,3,4,4,4,4,4,4,111.6497955,190.3557587,170.8896942,141.6921692
"2722","glycine catabolic process,glycine decarboxylation via glycine cleavage system,response to methylamine,oxidation-reduction process,response to lipoic acid,cellular response to leukemia inhibitory factor","nucleus,mitochondrion,plasma membrane,glycine cleavage complex","gldc","glycine dehydrogenase (decarboxylating) activity,glycine binding,lyase activity,enzyme binding,pyridoxal phosphate binding,protein homodimerization activity,pyridoxal binding","Glycine dehydrogenase (decarboxylating), mitochondrial","GCSP_MOUSE",2.22e-29,"Q91W43",19,7,10,19,8,8,8,8,299.0224304,100.5422668,101.6919632,243.7595673
"2723","biological_process;","membrane,integral component of membrane;","tmem19","molecular_function;","Transmembrane protein 19;Isoform 2 of Transmembrane protein 19","TMM19_MOUSE",2.39e-16,"Q91W52;Q91W52-2",2,2,2,2,2,2,2,2,70.05270386,30.29203606,42.86654663,43.96717834
"2724","NAD biosynthetic process,phosphorylation","cellular_component","nmrk1","ATP binding,metal ion binding,ribosylnicotinamide kinase activity,ribosylnicotinate kinase activity","Nicotinamide riboside kinase 1","NRK1_MOUSE",9.15e-31,"Q91W63",3,1,3,3,3,3,3,3,99.20050049,16.83751297,82.29174805,71.49599457
"2725","transcription, DNA-templated,histone H3-K36 methylation,peptidyl-lysine trimethylation,peptidyl-lysine monomethylation,peptidyl-lysine dimethylation,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter,positive regulation of muscle cell differentiation,histone H3-K4 methylation","nuclear chromatin","setd3","RNA polymerase II activating transcription factor binding,transcription coactivator activity,histone methyltransferase activity (H3-K4 specific),histone methyltransferase activity (H3-K36 specific)","Histone-lysine N-methyltransferase setd3","SETD3_MOUSE",5.68e-32,"Q91WC0",2,2,3,3,3,3,3,3,25.02165985,38.85760498,28.78207588,26.22935677
"2726","response to oxidative stress,mitochondrial ATP synthesis coupled electron transport","nucleoplasm,mitochondrion,mitochondrial respiratory chain complex I","ndufs2","NADH dehydrogenase (ubiquinone) activity,ubiquitin protein ligase binding,metal ion binding,quinone binding,NAD binding,4 iron, 4 sulfur cluster binding,NADH dehydrogenase activity","NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial","NDUS2_MOUSE",1.62e-48,"Q91WD5",31,32,30,30,11,11,11,11,2386.94043,4799.844238,1816.928223,2380.005127
"2727","","endoplasmic reticulum,intracellular membrane-bounded organelle","ces2c","acylcarnitine hydrolase activity","Acylcarnitine hydrolase","EST2C_MOUSE",3.41e-45,"Q91WG0",24,22,24,24,12,12,12,12,3933.236572,3427.464355,1610.680054,3309.27124
"2728","endocytosis,regulation of receptor activity,protein transport,positive regulation of GTPase activity;","early endosome,cytosol,intracellular membrane-bounded organelle;","rabep2","GTPase activator activity,growth factor activity;","Rab GTPase-binding effector protein 2;Isoform 2 of Rab GTPase-binding effector protein 2","RABE2_MOUSE",1.2e-13,"Q91WG2;Q91WG2-1",3,2,5,3,5,5,5,5,42.32717514,42.45401382,71.62489319,39.55014038
"2729","regulation of transcription, DNA-templated,transcription elongation from RNA polymerase II promoter,positive regulation of endopeptidase activity,proteasome assembly,regulation of JAK-STAT cascade;","histone acetyltransferase complex,proteasome complex,cytosol,transcription elongation factor complex,Elongator holoenzyme complex;","elp2","protein binding,protein kinase binding,endopeptidase activator activity,RNA polymerase II core binding;","Elongator complex protein 2;Isoform 2 of Elongator complex protein 2","ELP2_MOUSE",4.67e-05,"Q91WG4;Q91WG4-2",1,2,3,3,4,4,4,4,6.712012768,19.44098663,28.15487671,30.48336983
"2730","biological_process","nucleus,mitochondrion","spryd4","molecular_function","SPRY domain-containing protein 4","SPRY4_MOUSE",1.2e-13,"Q91WK1",4,3,5,4,5,5,5,5,69.04347229,56.36974716,47.41522598,38.98620987
"2731","translational initiation","eukaryotic translation initiation factor 3 complex,membrane,extracellular exosome,eukaryotic translation initiation factor 3 complex, eIF3m","eif3h","RNA binding,translation initiation factor activity","Eukaryotic translation initiation factor 3 subunit H","EIF3H_MOUSE",2.59e-26,"Q91WK2",7,9,10,9,7,7,7,7,194.1515503,214.83638,219.997879,191.9410553
"2732","protein lipoylation,glycine decarboxylation via glycine cleavage system","mitochondrion,glycine cleavage complex","gcsh","","Glycine cleavage system H protein, mitochondrial","GCSH_MOUSE",6.98e-18,"Q91WK5",2,1,1,1,2,2,2,2,51.22420502,43.30583191,40.52934647,68.94122314
